2025-04-07T16:13:36Z [INFO]  | MAIN | Starting PanelBase...
2025-04-07T16:13:36Z [INFO]  | MAIN | Running bootstrap process...
2025-04-07T16:13:36Z [INFO]  | MAIN | Bootstrap completed.
2025-04-07T16:13:36Z [INFO]  | MAIN | Loading configuration...
2025-04-07T16:13:36Z [INFO]  | MAIN | Configuration loaded: {Host:0.0.0.0 Port:32068 Mode:release}
2025-04-07T16:13:36Z [INFO]  | LOGGING | Debug logging disabled.
2025-04-07T16:13:36Z [INFO]  | MAIN | Bootstrap created items: [Directory 'E:\Github Desktop\PanelBase\configs' File 'configs\users.json' File 'configs\config.toml' File 'configs\plugins.json' File 'configs\ui_settings.json' File 'configs\themes.json' File 'configs\commands.json']
2025-04-07T16:13:36Z [INFO]  | MAIN | Initializing token store...
2025-04-07T16:13:36Z [INFO]  | TOKEN_STORE | Database opened at: E:\Github Desktop\PanelBase\configs\tokens.db
2025-04-07T16:13:36Z [INFO]  | TOKEN_STORE | Required buckets ensured: tokens, revoked_tokens
2025-04-07T16:13:36Z [INFO]  | MAIN | Token store initialized.
2025-04-07T16:13:36Z [INFO]  | MAIN | Loading user configuration...
2025-04-07T16:13:36Z [INFO]  | MAIN | User configuration loaded.
2025-04-07T16:13:36Z [INFO]  | MAIN | Loading UI settings...
2025-04-07T16:13:36Z [INFO]  | UI_SVC | Loaded UI settings (Title: PanelBase)
2025-04-07T16:13:36Z [INFO]  | MAIN | UI settings loaded.
2025-04-07T16:13:36Z [INFO]  | MAIN | Setting up Gin router...
2025-04-07T16:13:36Z [INFO]  | MAIN | Gin router setup complete.
2025-04-07T16:13:36Z [INFO]  | MAIN | Starting server in RELEASE mode on 0.0.0.0:32068...
2025-04-07T16:13:47Z [INFO]  | MAIN | Received signal: interrupt. Shutting down server...
2025-04-07T16:13:47Z [INFO]  | MAIN | HTTP server shut down gracefully.
2025-04-07T16:13:47Z [INFO]  | MAIN | Server exiting.
